,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatskiy,53.0452,158.6483,13.33,67.0,75.0,2.0,RU,1663050699.0
1,saskylakh,71.9167,114.0833,1.93,97.0,100.0,1.71,RU,1663050700.0
3,ushuaia,-54.8,-68.3,5.81,52.0,20.0,5.66,AR,1663051095.0
4,port alfred,-33.5906,26.891,15.1,72.0,15.0,2.24,ZA,1663050593.0
5,hithadhoo,-0.6,73.0833,27.82,70.0,12.0,2.64,MV,1663050840.0
6,pevek,69.7008,170.3133,1.89,88.0,100.0,2.73,RU,1663050703.0
7,bredasdorp,-34.5322,20.0403,15.09,61.0,74.0,1.86,ZA,1663051109.0
8,schruns,47.0709,9.9475,10.9,48.0,99.0,1.53,AT,1663050703.0
9,jamestown,42.097,-79.2353,15.01,75.0,75.0,0.0,US,1663050856.0
10,vaini,-21.2,-175.2,25.09,88.0,20.0,3.09,TO,1663051093.0
11,saint george,37.1041,-113.5841,24.79,61.0,40.0,4.12,US,1663050705.0
12,kruisfontein,-34.0033,24.7314,13.27,59.0,4.0,3.15,ZA,1663050517.0
13,ponta do sol,32.6667,-17.1,22.06,82.0,54.0,4.76,PT,1663050706.0
14,busselton,-33.65,115.3333,12.51,85.0,97.0,11.32,AU,1663050514.0
15,carnarvon,-24.8667,113.6333,20.87,55.0,1.0,8.72,AU,1663051112.0
16,at-bashi,41.1702,75.8106,17.91,28.0,0.0,1.44,KG,1663050707.0
17,basco,20.4487,121.9702,28.51,78.0,94.0,12.96,PH,1663050708.0
18,manaure,11.7751,-72.4445,27.82,73.0,95.0,4.55,CO,1663050708.0
19,lagoa,39.05,-27.9833,21.38,82.0,100.0,1.3,PT,1663050709.0
20,sitka,57.0531,-135.33,12.94,76.0,40.0,0.0,US,1663050709.0
21,zapolyarnyy,69.4154,30.8136,4.6,83.0,100.0,4.39,RU,1663050709.0
22,penzance,50.1186,-5.5371,19.38,80.0,100.0,9.46,GB,1663050710.0
23,east london,-33.0153,27.9116,16.52,55.0,0.0,5.14,ZA,1663051114.0
24,puerto ayora,-0.7393,-90.3518,17.53,99.0,100.0,0.89,EC,1663050711.0
26,quatre cocos,-20.2078,57.7625,25.06,66.0,5.0,4.6,MU,1663050712.0
27,kapaa,22.0752,-159.319,26.99,84.0,40.0,5.66,US,1663051115.0
28,cherskiy,68.75,161.3,3.41,92.0,100.0,3.48,RU,1663050712.0
29,albany,42.6001,-73.9662,20.68,94.0,100.0,0.62,US,1663050597.0
31,qaanaaq,77.484,-69.3632,1.31,90.0,100.0,2.38,GL,1663051116.0
32,tabriz,38.08,46.2919,25.7,29.0,0.0,0.0,IR,1663050714.0
34,tateyama,34.9833,139.8667,27.31,80.0,89.0,3.07,JP,1663050432.0
35,banes,20.9625,-75.7186,25.34,90.0,5.0,2.1,CU,1663050715.0
36,hermanus,-34.4187,19.2345,11.0,74.0,53.0,3.35,ZA,1663050520.0
37,montale,43.9356,11.0171,19.95,85.0,5.0,2.24,IT,1663050716.0
39,dikson,73.5069,80.5464,3.69,67.0,100.0,8.35,RU,1663050716.0
40,madona,56.8533,26.217,8.91,95.0,100.0,1.89,LV,1663050717.0
41,ribeira grande,38.5167,-28.7,23.22,94.0,75.0,4.12,PT,1663050718.0
43,zhangye,38.9342,100.4517,30.01,20.0,99.0,4.62,CN,1663050718.0
45,ngunguru,-35.6167,174.5,14.35,76.0,12.0,4.63,NZ,1663051119.0
46,linxia,35.6003,103.2064,23.35,45.0,75.0,2.49,CN,1663050720.0
47,port blair,11.6667,92.75,30.02,70.0,40.0,4.63,IN,1663050720.0
48,kholodnyy,62.7167,147.95,7.99,42.0,86.0,3.42,RU,1663050721.0
49,new norfolk,-42.7826,147.0587,12.16,54.0,87.0,0.45,AU,1663050680.0
51,atuona,-9.8,-139.0333,24.67,74.0,1.0,6.97,PF,1663050722.0
52,hobart,-42.8794,147.3294,12.35,70.0,40.0,3.6,AU,1663051061.0
54,pacific grove,36.6177,-121.9166,18.01,88.0,100.0,3.09,US,1663050722.0
55,vostok,46.4856,135.8833,11.46,87.0,97.0,3.49,RU,1663050723.0
56,porto santo,33.072,-16.3415,22.21,83.0,40.0,6.69,PT,1663050723.0
57,benguela,-12.5763,13.4055,21.41,78.0,31.0,0.63,AO,1663050724.0
58,lavrentiya,65.5833,-171.0,7.75,91.0,100.0,2.56,RU,1663050725.0
59,torbay,47.6666,-52.7314,14.6,97.0,100.0,8.23,CA,1663050725.0
60,nola,40.922,14.5329,27.43,66.0,0.0,0.39,IT,1663050726.0
