,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,morant bay,17.8815,-76.4093,28.73,70.0,27.0,4.82,JM,1663163341.0
1,portland,45.5234,-122.6762,17.11,83.0,100.0,0.45,US,1663163341.0
2,batagay,67.6333,134.6333,4.01,97.0,100.0,3.21,RU,1663163344.0
3,los llanos de aridane,28.6585,-17.9182,23.86,91.0,75.0,2.57,ES,1663163350.0
4,chuy,-33.6971,-53.4616,15.41,73.0,15.0,5.18,UY,1663163354.0
5,albany,42.6001,-73.9662,18.71,81.0,3.0,0.89,US,1663163357.0
7,kavieng,-2.5744,150.7967,27.48,75.0,75.0,7.43,PG,1663163358.0
8,tasiilaq,65.6145,-37.6368,3.09,69.0,82.0,2.59,GL,1663163360.0
9,paducah,37.0834,-88.6001,21.17,88.0,40.0,0.0,US,1663163124.0
10,rikitea,-23.1203,-134.9692,21.64,75.0,100.0,5.96,PF,1663163361.0
11,punta arenas,-53.15,-70.9167,3.06,70.0,0.0,4.12,CL,1663163362.0
12,port alfred,-33.5906,26.891,21.77,78.0,0.0,2.68,ZA,1663163134.0
13,ostrovnoy,68.0531,39.5131,11.5,83.0,100.0,3.95,RU,1663163363.0
14,arraial do cabo,-22.9661,-42.0278,24.98,78.0,40.0,11.32,BR,1663163365.0
15,bluff,-46.6,168.3333,8.22,70.0,95.0,11.59,NZ,1663163367.0
16,katsuura,35.1333,140.3,23.88,75.0,100.0,7.9,JP,1663163145.0
18,nikolskoye,59.7035,30.7861,12.94,80.0,100.0,3.15,RU,1663163367.0
19,flin flon,54.7682,-101.865,11.91,76.0,100.0,2.57,CA,1663163368.0
20,okhotsk,59.3833,143.3,6.04,91.0,100.0,6.48,RU,1663163369.0
21,carutapera,-1.195,-46.02,31.06,57.0,60.0,4.51,BR,1663163369.0
22,conneaut,41.9476,-80.5542,21.16,85.0,3.0,5.12,US,1663163370.0
23,kapaa,22.0752,-159.319,25.18,86.0,40.0,3.6,US,1663163370.0
24,omsukchan,62.5333,155.8,-1.83,90.0,18.0,0.68,RU,1663163371.0
26,atuona,-9.8,-139.0333,24.57,71.0,23.0,6.55,PF,1663163372.0
27,nara,34.6851,135.8049,27.62,61.0,95.0,1.83,JP,1663163228.0
29,faanui,-16.4833,-151.75,25.23,73.0,39.0,9.75,PF,1663163373.0
30,timmins,48.4669,-81.3331,6.9,76.0,100.0,4.12,CA,1663163373.0
31,castro,-24.7911,-50.0119,18.36,78.0,100.0,1.48,BR,1663163373.0
32,talnakh,69.4865,88.3972,4.56,86.0,100.0,3.4,RU,1663163340.0
33,shostka,51.863,33.4698,12.77,82.0,100.0,1.84,UA,1663163367.0
34,gorontalo,0.5412,123.0595,24.21,86.0,90.0,1.34,ID,1663163374.0
35,ancud,-41.8697,-73.8203,11.79,79.0,100.0,9.75,CL,1663163375.0
36,busselton,-33.65,115.3333,13.85,66.0,96.0,6.98,AU,1663163376.0
37,sinaloa,25.0,-107.5,23.12,99.0,100.0,1.38,MX,1663163376.0
38,georgetown,5.4112,100.3354,27.97,78.0,20.0,1.54,MY,1663163274.0
40,joniskelis,56.0253,24.1689,17.62,65.0,95.0,5.49,LT,1663163377.0
41,tiarei,-17.5333,-149.3333,22.01,72.0,94.0,9.38,PF,1663163377.0
42,mahebourg,-20.4081,57.7,24.16,69.0,20.0,4.63,MU,1663163378.0
43,ode,7.7899,5.7117,28.34,61.0,51.0,1.96,NG,1663163334.0
44,pevek,69.7008,170.3133,0.94,97.0,100.0,3.02,RU,1663163379.0
45,iqaluit,63.7506,-68.5145,6.85,75.0,75.0,2.57,CA,1663163203.0
47,padang,-0.9492,100.3543,25.03,80.0,100.0,1.26,ID,1663163380.0
48,bambous virieux,-20.3428,57.7575,24.14,69.0,20.0,4.63,MU,1663163380.0
49,arlit,18.7369,7.3853,40.86,8.0,3.0,3.23,NE,1663163381.0
50,phan thiet,10.9333,108.1,26.25,85.0,72.0,5.04,VN,1663163382.0
51,havoysund,70.9963,24.6622,7.13,65.0,100.0,6.6,NO,1663163383.0
52,timiryazevskiy,56.49,84.8769,9.53,85.0,98.0,1.16,RU,1663163383.0
53,vanavara,60.34,102.2797,3.55,86.0,50.0,2.02,RU,1663163384.0
55,barrow,71.2906,-156.7887,1.01,93.0,100.0,9.26,US,1663163384.0
56,cartagena del chaira,1.3349,-74.8429,28.14,65.0,86.0,1.88,CO,1663163384.0
57,codrington,-38.2667,141.9667,12.8,89.0,100.0,9.42,AU,1663163385.0
58,mar del plata,-38.0023,-57.5575,11.16,100.0,100.0,0.45,AR,1663163385.0
59,hobart,-42.8794,147.3294,7.92,75.0,1.0,3.09,AU,1663163379.0
60,hermanus,-34.4187,19.2345,23.22,57.0,4.0,2.64,ZA,1663163386.0
62,cape town,-33.9258,18.4232,24.23,11.0,0.0,4.12,ZA,1663162602.0
64,jamestown,42.097,-79.2353,19.18,78.0,100.0,1.54,US,1663163389.0
65,lagoa,39.05,-27.9833,23.34,88.0,36.0,5.74,PT,1663163389.0
66,ushuaia,-54.8,-68.3,6.81,36.0,0.0,4.12,AR,1663163390.0
67,new norfolk,-42.7826,147.0587,7.72,95.0,2.0,1.31,AU,1663163390.0
68,yerofey pavlovich,53.9667,121.9667,9.31,74.0,100.0,2.61,RU,1663163390.0
69,avarua,-21.2078,-159.775,23.03,83.0,75.0,3.09,CK,1663163390.0
70,rundu,-17.9333,19.7667,33.94,10.0,9.0,4.12,NA,1663163391.0
71,kosh-agach,50.0,88.6667,6.54,40.0,95.0,2.88,RU,1663163391.0
72,mataura,-46.1927,168.8643,8.04,98.0,33.0,1.39,NZ,1663163392.0
73,port elizabeth,-33.918,25.5701,30.05,66.0,0.0,5.14,ZA,1663163392.0
74,mao,39.8885,4.2658,30.31,62.0,20.0,5.14,ES,1663163393.0
75,nhulunbuy,-12.2333,136.7667,25.34,83.0,6.0,2.57,AU,1663163393.0
76,east london,-33.0153,27.9116,22.52,68.0,0.0,7.72,ZA,1663163119.0
77,hilo,19.7297,-155.09,24.6,73.0,75.0,3.09,US,1663163394.0
78,caravelas,-17.7125,-39.2481,28.31,46.0,0.0,4.63,BR,1663163395.0
79,victoria,22.2855,114.1577,32.88,51.0,0.0,2.68,HK,1663163383.0
80,alofi,-19.0595,-169.9187,20.94,94.0,94.0,1.54,NU,1663163396.0
81,natal,-5.795,-35.2094,30.12,66.0,40.0,7.2,BR,1663163396.0
82,lamu,-2.2717,40.902,27.12,77.0,42.0,7.56,KE,1663163396.0
84,capao da canoa,-29.7456,-50.0097,18.39,69.0,7.0,4.17,BR,1663163397.0
85,dakoro,14.5106,6.765,36.32,29.0,7.0,1.83,NE,1663163329.0
86,upernavik,72.7868,-56.1549,5.52,80.0,100.0,3.83,GL,1663163398.0
88,ahipara,-35.1667,173.1667,9.41,75.0,8.0,1.85,NZ,1663163398.0
89,qaanaaq,77.484,-69.3632,1.57,75.0,85.0,1.9,GL,1663163398.0
90,torbay,47.6666,-52.7314,15.16,94.0,100.0,5.14,CA,1663163399.0
91,thompson,55.7435,-97.8558,1.09,93.0,20.0,0.0,CA,1663163400.0
92,hithadhoo,-0.6,73.0833,27.94,70.0,15.0,3.73,MV,1663163401.0
93,kruisfontein,-34.0033,24.7314,28.82,27.0,0.0,5.08,ZA,1663163401.0
94,chiautla,19.5333,-98.8833,16.04,78.0,26.0,1.14,MX,1663163405.0
95,nokaneng,-19.6667,22.2667,32.84,12.0,0.0,5.41,BW,1663163407.0
96,kutoarjo,-7.7169,109.9128,24.47,89.0,25.0,2.09,ID,1663163409.0
97,constitucion,-35.3333,-72.4167,13.9,67.0,21.0,1.45,CL,1663163411.0
98,talara,-4.5772,-81.2719,17.42,82.0,40.0,9.77,PE,1663163411.0
99,shalakusha,62.2247,40.2539,14.54,56.0,57.0,3.75,RU,1663163420.0
100,ouesso,1.6136,16.0517,31.32,49.0,100.0,0.67,CG,1663163422.0
101,ilulissat,69.2167,-51.1,4.33,91.0,100.0,1.91,GL,1663163428.0
102,vestmannaeyjar,63.4427,-20.2734,10.55,76.0,0.0,5.66,IS,1663163428.0
103,mandawar,29.5,78.1333,25.42,82.0,40.0,3.15,IN,1663163434.0
104,honningsvag,70.9821,25.9704,6.86,61.0,100.0,4.12,NO,1663163438.0
105,rawson,-43.3002,-65.1023,17.95,36.0,55.0,5.35,AR,1663163439.0
106,dikson,73.5069,80.5464,3.67,74.0,97.0,6.26,RU,1663163440.0
107,ganzhou,28.8184,115.4327,23.15,73.0,0.0,1.96,CN,1663163441.0
108,deep river,46.1001,-77.4995,16.86,91.0,100.0,3.6,CA,1663163449.0
110,guliston,40.4897,68.7842,23.69,18.0,0.0,4.11,UZ,1663163449.0
111,deputatskiy,69.3,139.9,1.61,73.0,100.0,1.38,RU,1663163450.0
112,te anau,-45.4167,167.7167,1.29,94.0,31.0,0.67,NZ,1663163450.0
113,balkhash,46.844,74.9804,15.24,29.0,0.0,6.52,KZ,1663163450.0
114,narsaq,60.9167,-46.05,11.14,49.0,100.0,0.47,GL,1663163451.0
115,lorengau,-2.0226,147.2712,27.68,77.0,8.0,4.32,PG,1663163451.0
116,tura,25.5198,90.2201,22.73,98.0,100.0,2.05,IN,1663163243.0
117,moron,-34.6534,-58.6198,18.22,59.0,0.0,0.55,AR,1663163452.0
118,tuatapere,-46.1333,167.6833,2.93,91.0,12.0,2.11,NZ,1663163452.0
